英語,品詞,意味
a,[冠],1つの，1人の
a.m.,[副],午前
aaahhh,[間],うわあ
able,[形],（～する）能力のある
Aboriginal,[形],アボリジニの
about,[前],～について → how
about,[副],およそ，約
above,[前],～より上に［へ］
abroad,[副],外国に［で］
according,[前],〔according to ～で〕～によると
across,[前],～を横切って
active,[形],活動している
activity,[名],活動
actor,[名],俳優
actress,[名],女優
actually,[副],実際は，じつは
Adams,[名],アダムズ（姓）
add,[動],～を加える
addition,[名],追加
address,[名],住所
admire,[動],～を賞賛する，崇拝する
Adolph,[名],『アドルフに告ぐ』
adult,[名] [形],大人（の）
adventure,[名],冒険
advice,[名],忠告，助言
afraid,[形],怖がって，恐れて
Africa,[名],アフリカ
after,[前],～のあとに
after,[前],毎～ → night
after,[前],～にちなんで
after,[接],～したあとに［で］
afternoon,[名],午後
again,[副],もう1度，ふたたび
against,[前],～に対抗して
Agatha,[名],アガサ（女の人の名）
age,[名],年齢，年
ago,[副],（今から）～前に
agree,[動],賛成する，同意する
ah,[間],〔驚きなどの声で〕あっ
air,[名],空気
airport,[名],空港
albatross,[名],アホウドリ
alive,[形],生きた状態で
all,[形],すべての，ずっと → day
all,[副],まったく，すっかり
all,[代],あらゆる人［もの］
Allie,[名],アリー（女の人の名）
almost,[副],ほとんど，もう少しで
along,[前],～に沿って
already,[副],もう，すでに
also,[副],～もまた
although,[接],～だけれども
always,[副],いつでも，常に
am,[動],（わたしは）～である，～です
am,[助],〔am ～ing で〕（わたしは）～している
am,[助],〔am ＋過去分詞形で受け身を表す〕
amazing,[形],驚くべき
America,[名],アメリカ合衆国
American,[形],アメリカ（人）の
among,[前],～の間で
an,[冠],1つの，1人の〔母音で始まる語の前で〕
ancestral,[形],先祖の
anchor,[名],ニュースキャスター
ancient,[形],古代の
and,[接],そして，～と～
and,[接],〔動詞を結んで〕
Andrew,[名],アンドリュー（男の人の名）
angry,[形],怒っている
animal,[名],動物
animated,[形],アニメの
animation,[名],アニメーション
anime,[名],アニメ
Annabel,[名],アナベル（女の人の名）
anniversary,[名],記念日，～周年
announcer,[名],アナウンサー
another,[形],もう1つの，別の
another,[代],別のもの［人］
answer,[動],（～に）答える
antarctic,[形],南極（圏）の
any,[形],〔疑問文で〕何か，いくつかの
any,[形],〔否定文で〕少しも，1つも
any,[形],〔通例肯定文で〕どれでも，どんな～でも
anymore,[副],〔否定文・疑問文で〕今ではもう～でない，もはや～でない
anyone,[代],だれでも
anything,[代],〔否定文で〕何も（～ない）
anything,[代],何でも
appear,[動],現れる
apple,[名],リンゴ
April,[名],4月
apron,[名],エプロン
aquarium,[名],水族館
are,[動],～である，～です
are,[動],～にいる，～にある
are,[助],〔are ～ing で〕～している
are,[助],〔are＋過去分詞形で受け身を表す〕
area,[名],地域，地方
aren't,,← are not
Arkansas,[名],アーカンソー州
arm,[名],腕，〔イカなどの〕触手
around,[前],～ぐらい，およそ～
around,[前],～の近くに
around,[前],～のあちこちを
around,[前],～のまわりに
around,[副],回って
arrive,[動],到着する
art,[名],美術（教科名）
art,[名],美術，芸術
article,[名],記事
as,[接],→ such
as,[接],（～する）ように
as,[副] [接],〔as ～ as ... で〕…と同じくらい～
as,[前],～として
Asia,[名],アジア
ask,[動],～に頼む
ask,[動],～にたずねる
asleep,[形],眠っている
Astro,[名],アトム（キャラクターの名前）
astronaut,[名],宇宙飛行士
at,[前],〔関連を示して〕～の点で，～に関して
at,[前],〔時・時刻を示して〕～（時）に
at,[前],〔方向・目標を示して〕～に向かって
at,[前],〔場所・位置を示して〕～で，～に
ate,[動],eat の過去形
athlete,[名],運動選手
attach,[動],～を添付する
attack,[動],～を攻撃する
attend,[動],～に出席する
attention,[名],注意，注目
attic,[名],屋根裏（部屋）
August,[名],8月
aunt,[名],おば
